id_campanha,nome_campanha,canal,data_inicio,data_fim
1,Lançamento 2024-03 #0001,Email,2024-03-05,2024-03-20
2,Black Friday 2025-05 #0002,Email,2025-05-11,2025-05-31
3,Lançamento 2025-09 #0003,Email,2025-09-01,2025-09-19
4,Fidelidade 2024-09 #0004,Email,2024-09-18,2024-10-09
5,Lançamento 2024-10 #0005,Email,2024-10-18,2024-11-06
6,Fidelidade 2024-07 #0006,SMS,2024-07-17,2024-07-29
7,Lançamento 2024-04 #0007,Email,2024-04-25,2024-05-07
8,Fidelidade 2025-04 #0008,Push,2025-04-14,2025-04-27
9,Lançamento 2024-07 #0009,Email,2024-07-30,2024-08-19
10,Black Friday 2025-06 #0010,Push,2025-06-30,2025-07-12
11,Fidelidade 2025-08 #0011,Email,2025-08-21,2025-09-02
12,Black Friday 2024-11 #0012,SMS,2024-11-19,2024-11-27
13,Sazonal 2025-11 #0013,Email,2025-11-09,2025-11-24
14,Reativação 2024-01 #0014,Push,2024-01-11,2024-01-17
15,Boas-vindas 2024-02 #0015,Email,2024-02-02,2024-02-19
16,Lançamento 2024-02 #0016,Email,2024-02-10,2024-03-01
17,Black Friday 2025-09 #0017,Email,2025-09-08,2025-09-28
18,Reativação 2024-07 #0018,Email,2024-07-02,2024-07-13
19,Fidelidade 2025-01 #0019,Email,2025-01-02,2025-01-12
20,Fidelidade 2024-01 #0020,SMS,2024-01-01,2024-01-22
21,Boas-vindas 2025-07 #0021,SMS,2025-07-22,2025-07-26
22,Lançamento 2024-12 #0022,Email,2024-12-03,2024-12-23
23,Boas-vindas 2025-07 #0023,Email,2025-07-18,2025-08-05
24,Sazonal 2024-09 #0024,Push,2024-09-25,2024-10-15
25,Lançamento 2024-12 #0025,Push,2024-12-21,2024-12-31
26,Boas-vindas 2024-01 #0026,Push,2024-01-15,2024-02-01
27,Black Friday 2025-01 #0027,Email,2025-01-14,2025-01-23
28,Sazonal 2024-02 #0028,Email,2024-02-17,2024-03-03
29,Lançamento 2025-11 #0029,Email,2025-11-26,2025-12-10
30,Boas-vindas 2025-10 #0030,Email,2025-10-22,2025-11-05
31,Reativação 2025-01 #0031,Email,2025-01-31,2025-02-11
32,Boas-vindas 2025-08 #0032,SMS,2025-08-01,2025-08-21
33,Reativação 2025-11 #0033,Email,2025-11-11,2025-12-02
34,Fidelidade 2024-02 #0034,SMS,2024-02-23,2024-02-26
35,Black Friday 2025-10 #0035,Email,2025-10-31,2025-11-08
36,Sazonal 2025-02 #0036,SMS,2025-02-28,2025-03-03
37,Sazonal 2024-04 #0037,SMS,2024-04-25,2024-05-11
38,Sazonal 2025-01 #0038,Email,2025-01-16,2025-01-26
39,Reativação 2024-10 #0039,Email,2024-10-04,2024-10-15
40,Fidelidade 2024-05 #0040,Email,2024-05-14,2024-05-18
41,Lançamento 2025-02 #0041,Email,2025-02-06,2025-02-19
42,Fidelidade 2025-03 #0042,Push,2025-03-08,2025-03-23
43,Boas-vindas 2025-01 #0043,Email,2025-01-18,2025-01-22
44,Boas-vindas 2025-01 #0044,SMS,2025-01-21,2025-01-28
45,Reativação 2024-04 #0045,Push,2024-04-29,2024-05-15
46,Boas-vindas 2025-05 #0046,Email,2025-05-04,2025-05-20
47,Boas-vindas 2024-07 #0047,Push,2024-07-01,2024-07-09
48,Fidelidade 2024-05 #0048,Email,2024-05-07,2024-05-17
49,Sazonal 2024-08 #0049,Email,2024-08-08,2024-08-20
50,Black Friday 2025-03 #0050,Email,2025-03-26,2025-04-07
51,Lançamento 2025-05 #0051,Email,2025-05-06,2025-05-18
52,Reativação 2024-11 #0052,Email,2024-11-29,2024-12-15
53,Boas-vindas 2024-11 #0053,Email,2024-11-30,2024-12-10
54,Boas-vindas 2025-07 #0054,Email,2025-07-01,2025-07-19
55,Boas-vindas 2024-03 #0055,Email,2024-03-24,2024-04-07
56,Black Friday 2024-08 #0056,Email,2024-08-11,2024-08-15
57,Sazonal 2024-01 #0057,Email,2024-01-04,2024-01-11
58,Boas-vindas 2025-11 #0058,Push,2025-11-05,2025-11-10
59,Boas-vindas 2025-04 #0059,Push,2025-04-28,2025-05-05
60,Lançamento 2025-10 #0060,Email,2025-10-10,2025-10-26
61,Fidelidade 2024-10 #0061,Email,2024-10-04,2024-10-14
62,Reativação 2025-09 #0062,Email,2025-09-24,2025-10-07
63,Reativação 2025-07 #0063,Email,2025-07-21,2025-08-11
64,Reativação 2025-11 #0064,Email,2025-11-15,2025-11-29
65,Sazonal 2024-05 #0065,SMS,2024-05-23,2024-05-29
66,Black Friday 2025-02 #0066,Push,2025-02-19,2025-03-04
67,Reativação 2025-05 #0067,Email,2025-05-15,2025-06-01
68,Black Friday 2024-03 #0068,Email,2024-03-09,2024-03-13
69,Sazonal 2025-06 #0069,Email,2025-06-25,2025-07-07
70,Black Friday 2025-09 #0070,Email,2025-09-05,2025-09-22
71,Reativação 2024-11 #0071,Email,2024-11-10,2024-11-24
72,Boas-vindas 2025-10 #0072,Email,2025-10-15,2025-10-22
73,Lançamento 2024-10 #0073,SMS,2024-10-31,2024-11-12
74,Lançamento 2024-04 #0074,Email,2024-04-24,2024-05-15
75,Sazonal 2024-11 #0075,SMS,2024-11-03,2024-11-24
76,Boas-vindas 2025-04 #0076,Email,2025-04-15,2025-04-24
77,Reativação 2024-02 #0077,Email,2024-02-07,2024-02-26
78,Black Friday 2025-07 #0078,Email,2025-07-01,2025-07-07
79,Boas-vindas 2025-06 #0079,Email,2025-06-26,2025-07-01
80,Boas-vindas 2024-07 #0080,SMS,2024-07-24,2024-08-12
81,Boas-vindas 2025-09 #0081,Email,2025-09-07,2025-09-11
82,Lançamento 2025-06 #0082,Email,2025-06-09,2025-06-17
83,Black Friday 2025-07 #0083,Email,2025-07-24,2025-08-01
84,Fidelidade 2025-05 #0084,Email,2025-05-06,2025-05-09
85,Fidelidade 2024-10 #0085,Email,2024-10-19,2024-11-01
86,Reativação 2024-03 #0086,Email,2024-03-05,2024-03-22
87,Lançamento 2024-11 #0087,Email,2024-11-09,2024-11-18
88,Sazonal 2024-12 #0088,Email,2024-12-01,2024-12-20
89,Black Friday 2024-02 #0089,Email,2024-02-21,2024-02-27
90,Lançamento 2024-12 #0090,Email,2024-12-30,2025-01-08
91,Reativação 2024-10 #0091,SMS,2024-10-26,2024-11-13
92,Sazonal 2024-03 #0092,Email,2024-03-30,2024-04-14
93,Fidelidade 2024-06 #0093,SMS,2024-06-15,2024-07-06
94,Reativação 2024-03 #0094,Email,2024-03-07,2024-03-22
95,Fidelidade 2024-05 #0095,Email,2024-05-19,2024-05-30
96,Sazonal 2025-01 #0096,SMS,2025-01-20,2025-01-31
97,Black Friday 2024-12 #0097,Email,2024-12-15,2025-01-05
98,Black Friday 2025-08 #0098,Email,2025-08-22,2025-08-28
99,Fidelidade 2024-02 #0099,Email,2024-02-19,2024-03-03
100,Boas-vindas 2025-05 #0100,Email,2025-05-06,2025-05-26
101,Sazonal 2024-08 #0101,Email,2024-08-27,2024-09-04
102,Sazonal 2024-04 #0102,Email,2024-04-07,2024-04-23
103,Fidelidade 2025-11 #0103,Email,2025-11-10,2025-11-22
104,Sazonal 2024-06 #0104,Email,2024-06-23,2024-07-04
105,Fidelidade 2025-06 #0105,Email,2025-06-10,2025-06-27
106,Reativação 2025-08 #0106,Email,2025-08-19,2025-09-08
107,Lançamento 2025-01 #0107,Email,2025-01-14,2025-02-04
108,Fidelidade 2024-12 #0108,Email,2024-12-22,2025-01-10
109,Fidelidade 2024-04 #0109,Email,2024-04-23,2024-04-30
110,Lançamento 2024-03 #0110,Email,2024-03-14,2024-03-31
111,Fidelidade 2025-07 #0111,Email,2025-07-05,2025-07-10
112,Reativação 2024-05 #0112,Email,2024-05-20,2024-05-29
113,Fidelidade 2025-10 #0113,Push,2025-10-16,2025-11-02
114,Lançamento 2024-03 #0114,Email,2024-03-24,2024-04-06
115,Fidelidade 2025-08 #0115,Email,2025-08-17,2025-08-28
116,Black Friday 2024-12 #0116,SMS,2024-12-02,2024-12-11
117,Lançamento 2025-03 #0117,SMS,2025-03-11,2025-03-19
118,Lançamento 2025-06 #0118,Push,2025-06-19,2025-06-25
119,Boas-vindas 2024-03 #0119,Email,2024-03-25,2024-03-28
120,Fidelidade 2024-08 #0120,Email,2024-08-02,2024-08-18
121,Black Friday 2025-07 #0121,SMS,2025-07-03,2025-07-24
122,Fidelidade 2024-09 #0122,Push,2024-09-08,2024-09-26
123,Black Friday 2025-07 #0123,Email,2025-07-05,2025-07-18
124,Black Friday 2025-08 #0124,SMS,2025-08-13,2025-08-16
125,Sazonal 2025-09 #0125,Push,2025-09-24,2025-10-15
126,Boas-vindas 2025-10 #0126,SMS,2025-10-07,2025-10-24
127,Fidelidade 2025-04 #0127,Email,2025-04-24,2025-05-07
128,Fidelidade 2024-05 #0128,SMS,2024-05-31,2024-06-16
129,Boas-vindas 2025-08 #0129,Email,2025-08-22,2025-09-05
130,Sazonal 2024-04 #0130,SMS,2024-04-01,2024-04-14
131,Fidelidade 2025-05 #0131,SMS,2025-05-31,2025-06-17
132,Sazonal 2024-01 #0132,Email,2024-01-13,2024-01-20
133,Lançamento 2025-11 #0133,Email,2025-11-20,2025-11-26
134,Fidelidade 2024-05 #0134,Email,2024-05-04,2024-05-25
135,Black Friday 2024-03 #0135,Email,2024-03-22,2024-04-11
136,Fidelidade 2024-05 #0136,Push,2024-05-08,2024-05-20
137,Sazonal 2024-05 #0137,SMS,2024-05-17,2024-05-31
138,Boas-vindas 2024-05 #0138,Email,2024-05-04,2024-05-08
139,Black Friday 2025-08 #0139,Email,2025-08-10,2025-08-23
140,Black Friday 2025-07 #0140,SMS,2025-07-01,2025-07-07
141,Reativação 2024-02 #0141,Email,2024-02-13,2024-02-20
142,Boas-vindas 2024-11 #0142,Email,2024-11-02,2024-11-11
143,Black Friday 2025-02 #0143,Push,2025-02-14,2025-03-05
144,Boas-vindas 2025-05 #0144,Email,2025-05-23,2025-06-07
145,Lançamento 2024-05 #0145,Email,2024-05-23,2024-06-06
146,Sazonal 2025-06 #0146,Email,2025-06-05,2025-06-26
147,Boas-vindas 2024-09 #0147,Email,2024-09-08,2024-09-12
148,Sazonal 2024-01 #0148,Email,2024-01-08,2024-01-21
149,Black Friday 2025-03 #0149,Email,2025-03-16,2025-03-28
150,Sazonal 2025-04 #0150,Email,2025-04-06,2025-04-19
151,Lançamento 2025-01 #0151,Email,2025-01-30,2025-02-17
152,Boas-vindas 2025-08 #0152,Email,2025-08-04,2025-08-10
153,Lançamento 2024-04 #0153,Email,2024-04-13,2024-04-28
154,Fidelidade 2025-11 #0154,Email,2025-11-26,2025-12-03
155,Boas-vindas 2025-06 #0155,Email,2025-06-04,2025-06-12
156,Black Friday 2025-04 #0156,SMS,2025-04-12,2025-05-02
157,Lançamento 2025-08 #0157,Push,2025-08-31,2025-09-15
158,Black Friday 2025-02 #0158,Email,2025-02-23,2025-03-05
159,Boas-vindas 2024-10 #0159,Email,2024-10-29,2024-11-13
160,Reativação 2024-09 #0160,Email,2024-09-18,2024-10-04
161,Black Friday 2024-03 #0161,SMS,2024-03-19,2024-04-05
162,Sazonal 2024-11 #0162,SMS,2024-11-27,2024-12-10
163,Sazonal 2025-07 #0163,Push,2025-07-02,2025-07-18
164,Black Friday 2024-09 #0164,Push,2024-09-28,2024-10-04
165,Boas-vindas 2024-02 #0165,Email,2024-02-08,2024-02-28
166,Boas-vindas 2024-01 #0166,Email,2024-01-02,2024-01-11
167,Reativação 2024-01 #0167,Email,2024-01-09,2024-01-25
168,Lançamento 2024-08 #0168,Email,2024-08-01,2024-08-20
169,Reativação 2024-04 #0169,Email,2024-04-14,2024-04-25
170,Black Friday 2025-04 #0170,Email,2025-04-09,2025-04-30
171,Fidelidade 2024-08 #0171,Email,2024-08-23,2024-09-01
172,Fidelidade 2024-01 #0172,Email,2024-01-23,2024-01-27
173,Lançamento 2025-03 #0173,Email,2025-03-04,2025-03-07
174,Boas-vindas 2025-08 #0174,Email,2025-08-06,2025-08-26
175,Fidelidade 2024-10 #0175,Email,2024-10-11,2024-10-22
176,Reativação 2024-11 #0176,Email,2024-11-23,2024-12-03
177,Fidelidade 2024-12 #0177,Email,2024-12-02,2024-12-19
178,Lançamento 2024-05 #0178,Email,2024-05-19,2024-05-30
179,Black Friday 2024-07 #0179,Email,2024-07-20,2024-08-05
180,Fidelidade 2025-07 #0180,Push,2025-07-20,2025-07-26
181,Reativação 2025-01 #0181,SMS,2025-01-27,2025-01-31
182,Reativação 2024-07 #0182,Push,2024-07-26,2024-08-16
183,Fidelidade 2025-05 #0183,Push,2025-05-30,2025-06-18
184,Boas-vindas 2025-05 #0184,Email,2025-05-20,2025-06-06
185,Sazonal 2025-10 #0185,Email,2025-10-29,2025-11-17
186,Sazonal 2024-08 #0186,Email,2024-08-15,2024-08-30
187,Lançamento 2024-10 #0187,Email,2024-10-17,2024-10-28
188,Boas-vindas 2024-04 #0188,Email,2024-04-06,2024-04-09
189,Black Friday 2025-09 #0189,Push,2025-09-29,2025-10-13
190,Fidelidade 2024-07 #0190,SMS,2024-07-16,2024-08-01
191,Boas-vindas 2024-01 #0191,Email,2024-01-24,2024-02-08
192,Reativação 2024-05 #0192,Email,2024-05-16,2024-05-24
193,Reativação 2024-02 #0193,Email,2024-02-10,2024-02-18
194,Black Friday 2024-08 #0194,Email,2024-08-26,2024-09-09
195,Lançamento 2025-04 #0195,Email,2025-04-06,2025-04-17
196,Black Friday 2024-10 #0196,Email,2024-10-13,2024-10-31
197,Sazonal 2025-08 #0197,Email,2025-08-28,2025-09-18
198,Boas-vindas 2024-08 #0198,Email,2024-08-08,2024-08-18
199,Sazonal 2025-07 #0199,Email,2025-07-18,2025-08-05
200,Reativação 2025-09 #0200,Email,2025-09-22,2025-09-29
201,Reativação 2024-05 #0201,Email,2024-05-27,2024-06-13
202,Fidelidade 2024-01 #0202,Email,2024-01-29,2024-02-18
203,Boas-vindas 2025-05 #0203,Email,2025-05-01,2025-05-12
204,Lançamento 2025-08 #0204,Email,2025-08-11,2025-08-19
205,Black Friday 2025-01 #0205,Push,2025-01-17,2025-01-29
206,Boas-vindas 2024-05 #0206,Email,2024-05-27,2024-06-07
207,Sazonal 2025-10 #0207,Email,2025-10-23,2025-11-08
208,Black Friday 2024-04 #0208,Email,2024-04-12,2024-04-16
209,Boas-vindas 2024-02 #0209,Email,2024-02-06,2024-02-25
210,Black Friday 2025-03 #0210,Email,2025-03-17,2025-03-26
211,Lançamento 2024-02 #0211,Email,2024-02-21,2024-03-12
212,Lançamento 2025-02 #0212,Email,2025-02-12,2025-02-20
213,Boas-vindas 2024-02 #0213,SMS,2024-02-27,2024-03-02
214,Reativação 2025-08 #0214,SMS,2025-08-31,2025-09-10
215,Lançamento 2025-02 #0215,Email,2025-02-04,2025-02-09
216,Reativação 2025-08 #0216,Email,2025-08-07,2025-08-27
217,Black Friday 2025-08 #0217,Email,2025-08-20,2025-09-06
218,Fidelidade 2025-05 #0218,Email,2025-05-02,2025-05-06
219,Lançamento 2024-04 #0219,Email,2024-04-08,2024-04-21
220,Black Friday 2025-07 #0220,Email,2025-07-30,2025-08-16
221,Fidelidade 2024-08 #0221,Email,2024-08-09,2024-08-18
222,Sazonal 2024-02 #0222,Email,2024-02-05,2024-02-13
223,Black Friday 2024-04 #0223,Email,2024-04-05,2024-04-20
224,Black Friday 2025-08 #0224,Email,2025-08-02,2025-08-20
225,Sazonal 2024-03 #0225,Email,2024-03-18,2024-03-25
226,Black Friday 2024-07 #0226,Email,2024-07-09,2024-07-20
227,Sazonal 2024-11 #0227,SMS,2024-11-19,2024-12-05
228,Lançamento 2024-04 #0228,Email,2024-04-24,2024-05-02
229,Black Friday 2025-07 #0229,Email,2025-07-14,2025-07-17
230,Reativação 2025-04 #0230,Email,2025-04-10,2025-04-26
231,Boas-vindas 2024-02 #0231,SMS,2024-02-25,2024-03-08
232,Boas-vindas 2024-10 #0232,Email,2024-10-27,2024-11-03
233,Sazonal 2024-04 #0233,Email,2024-04-05,2024-04-12
234,Boas-vindas 2024-12 #0234,Email,2024-12-16,2025-01-06
235,Black Friday 2024-10 #0235,Email,2024-10-03,2024-10-06
236,Reativação 2025-08 #0236,Email,2025-08-20,2025-09-06
237,Boas-vindas 2025-04 #0237,Email,2025-04-30,2025-05-03
238,Sazonal 2024-08 #0238,Email,2024-08-01,2024-08-15
239,Black Friday 2024-11 #0239,Email,2024-11-19,2024-11-26
240,Lançamento 2025-04 #0240,Email,2025-04-26,2025-05-13
241,Reativação 2025-09 #0241,Email,2025-09-09,2025-09-12
242,Boas-vindas 2025-11 #0242,Email,2025-11-24,2025-12-08
243,Fidelidade 2025-01 #0243,Email,2025-01-02,2025-01-08
244,Black Friday 2025-01 #0244,Email,2025-01-26,2025-02-01
245,Sazonal 2025-08 #0245,Email,2025-08-11,2025-08-31
246,Black Friday 2025-08 #0246,Email,2025-08-18,2025-09-03
247,Lançamento 2025-07 #0247,Push,2025-07-07,2025-07-19
248,Fidelidade 2025-09 #0248,SMS,2025-09-13,2025-09-24
249,Fidelidade 2025-05 #0249,Email,2025-05-05,2025-05-24
250,Lançamento 2025-11 #0250,Email,2025-11-21,2025-12-08
251,Black Friday 2025-01 #0251,Push,2025-01-23,2025-02-11
252,Reativação 2025-06 #0252,Email,2025-06-22,2025-07-03
253,Fidelidade 2024-01 #0253,Email,2024-01-25,2024-02-11
254,Fidelidade 2025-11 #0254,Push,2025-11-04,2025-11-25
255,Fidelidade 2024-04 #0255,Email,2024-04-22,2024-05-04
256,Fidelidade 2025-09 #0256,Email,2025-09-26,2025-10-12
257,Black Friday 2024-11 #0257,Email,2024-11-03,2024-11-24
258,Boas-vindas 2025-06 #0258,Email,2025-06-25,2025-07-02
259,Reativação 2024-07 #0259,Push,2024-07-21,2024-08-01
260,Reativação 2025-07 #0260,Email,2025-07-07,2025-07-18
261,Black Friday 2025-04 #0261,Email,2025-04-04,2025-04-10
262,Fidelidade 2024-08 #0262,Push,2024-08-17,2024-09-02
263,Reativação 2024-11 #0263,Email,2024-11-22,2024-11-29
264,Boas-vindas 2024-01 #0264,Email,2024-01-10,2024-01-18
265,Sazonal 2024-07 #0265,Email,2024-07-23,2024-07-30
266,Reativação 2024-01 #0266,Push,2024-01-15,2024-01-18
267,Boas-vindas 2024-08 #0267,Email,2024-08-01,2024-08-04
268,Fidelidade 2024-01 #0268,Email,2024-01-19,2024-01-29
269,Sazonal 2024-10 #0269,Email,2024-10-25,2024-11-09
270,Boas-vindas 2025-04 #0270,Email,2025-04-09,2025-04-12
271,Fidelidade 2024-01 #0271,Email,2024-01-04,2024-01-25
272,Black Friday 2024-04 #0272,Email,2024-04-02,2024-04-17
273,Black Friday 2024-01 #0273,Email,2024-01-03,2024-01-08
274,Fidelidade 2025-01 #0274,SMS,2025-01-28,2025-02-04
275,Boas-vindas 2024-08 #0275,Email,2024-08-28,2024-09-06
276,Sazonal 2025-04 #0276,SMS,2025-04-12,2025-05-02
277,Sazonal 2025-08 #0277,Email,2025-08-14,2025-08-18
278,Black Friday 2025-02 #0278,Email,2025-02-01,2025-02-14
279,Fidelidade 2024-11 #0279,Push,2024-11-03,2024-11-08
280,Lançamento 2025-07 #0280,Email,2025-07-14,2025-07-25
281,Boas-vindas 2025-02 #0281,Email,2025-02-01,2025-02-04
282,Fidelidade 2025-09 #0282,Email,2025-09-03,2025-09-13
283,Lançamento 2024-09 #0283,Email,2024-09-12,2024-09-18
284,Lançamento 2024-09 #0284,Email,2024-09-07,2024-09-13
285,Black Friday 2025-06 #0285,Email,2025-06-19,2025-07-09
286,Reativação 2025-10 #0286,Email,2025-10-23,2025-11-05
287,Boas-vindas 2025-05 #0287,SMS,2025-05-28,2025-06-09
288,Black Friday 2024-06 #0288,Email,2024-06-02,2024-06-13
289,Black Friday 2025-11 #0289,Email,2025-11-11,2025-11-20
290,Boas-vindas 2024-11 #0290,Email,2024-11-27,2024-12-13
291,Lançamento 2024-01 #0291,Email,2024-01-31,2024-02-21
292,Fidelidade 2025-09 #0292,Email,2025-09-13,2025-10-04
293,Lançamento 2024-10 #0293,Email,2024-10-06,2024-10-13
294,Black Friday 2024-02 #0294,Email,2024-02-24,2024-03-02
295,Sazonal 2024-09 #0295,Email,2024-09-30,2024-10-07
296,Black Friday 2025-07 #0296,Email,2025-07-06,2025-07-13
297,Sazonal 2024-05 #0297,Email,2024-05-21,2024-06-07
298,Reativação 2025-09 #0298,Push,2025-09-02,2025-09-09
299,Boas-vindas 2025-02 #0299,Email,2025-02-04,2025-02-18
300,Black Friday 2025-05 #0300,Email,2025-05-27,2025-06-09
301,Lançamento 2024-05 #0301,Email,2024-05-19,2024-06-02
302,Boas-vindas 2025-10 #0302,Email,2025-10-14,2025-10-22
303,Reativação 2024-08 #0303,Push,2024-08-15,2024-08-18
304,Reativação 2024-01 #0304,Email,2024-01-09,2024-01-15
305,Boas-vindas 2025-07 #0305,Email,2025-07-27,2025-08-09
306,Fidelidade 2024-04 #0306,Email,2024-04-19,2024-05-05
307,Sazonal 2024-03 #0307,Email,2024-03-12,2024-03-25
308,Fidelidade 2024-12 #0308,Email,2024-12-20,2025-01-04
309,Black Friday 2024-04 #0309,Email,2024-04-27,2024-05-05
310,Black Friday 2024-08 #0310,Email,2024-08-12,2024-08-28
311,Black Friday 2024-01 #0311,Email,2024-01-25,2024-02-14
312,Fidelidade 2024-09 #0312,Email,2024-09-05,2024-09-10
313,Black Friday 2024-01 #0313,Email,2024-01-31,2024-02-08
