id_cliente,id_campanha,abriu,clicou,data_interacao
3712,2865,1,0,2024-07-10
682,2744,1,0,2025-06-28
287,2338,0,0,2025-07-17
3842,209,0,0,2024-02-13
4549,1484,1,1,2025-04-05
394,609,1,1,2025-04-03
1340,2811,0,0,2024-06-16
1882,2881,0,0,2025-04-25
269,336,1,0,2025-01-14
3856,1493,0,0,2024-05-18
3878,1102,0,0,2025-11-18
2735,2622,1,0,2024-07-12
4875,1849,0,0,2024-10-22
1369,1420,1,0,2024-08-20
2113,2741,0,0,2025-10-05
2305,342,1,1,2025-10-17
3612,1195,1,0,2024-06-03
3002,381,0,0,2025-03-15
1953,1879,0,0,2024-03-21
1883,1820,0,0,2024-06-24
4698,2813,0,0,2025-12-06
4372,472,0,0,2025-01-24
40,2172,1,0,2025-03-11
3751,1234,0,0,2024-10-04
2976,2134,1,0,2024-03-24
4171,323,1,0,2024-12-06
4224,239,1,0,2024-11-24
4124,1642,1,0,2025-07-12
2913,1820,1,0,2024-06-27
4732,2285,1,1,2024-10-02
1995,1300,1,0,2024-03-31
896,399,0,0,2024-05-26
465,2872,1,0,2024-10-15
4377,1026,1,0,2024-05-20
4995,2269,0,0,2024-03-05
4887,911,0,0,2024-08-18
1989,1463,0,0,2025-08-31
965,2049,0,0,2024-03-09
3719,2963,0,0,2024-02-06
2253,2840,0,0,2024-12-22
69,164,0,0,2024-09-30
3430,1085,1,0,2024-10-03
1100,36,1,0,2025-03-08
1344,2353,1,0,2025-04-14
4490,418,0,0,2025-07-21
527,1155,1,0,2024-08-18
4423,1148,1,0,2025-01-24
1430,2392,1,0,2025-08-27
3947,2954,1,1,2024-12-18
1477,331,1,1,2024-12-27
4089,1377,1,0,2024-08-18
1181,2546,0,0,2025-10-10
3472,1827,0,0,2025-01-24
4125,2124,0,0,2024-10-02
4831,2220,1,0,2025-08-24
2402,1142,1,1,2025-05-07
2416,284,1,1,2024-09-16
1116,2958,0,0,2024-10-16
3408,14,0,0,2024-01-20
3564,746,0,0,2025-05-27
525,2861,0,0,2025-04-01
3088,1021,1,1,2025-03-28
2284,2163,1,1,2024-12-08
1986,1729,0,0,2024-04-08
2863,1668,1,0,2024-02-17
3356,2271,0,0,2024-08-08
1084,2873,0,0,2024-09-09
3813,116,0,0,2024-12-07
2068,2124,1,0,2024-09-28
837,1552,1,0,2025-05-17
2454,989,1,1,2024-09-25
1444,2665,0,0,2024-10-05
553,2200,1,0,2025-07-01
2444,1871,0,0,2024-11-18
3428,771,0,0,2024-03-29
1066,2563,1,0,2025-11-03
4027,2231,0,0,2025-10-28
4000,2211,0,0,2025-08-06
3237,1705,1,0,2024-04-26
2841,2551,0,0,2024-01-06
4208,1644,1,0,2025-03-25
2429,328,1,1,2024-04-23
4514,2788,1,0,2024-08-01
1404,2715,1,0,2024-08-28
4785,170,0,0,2025-04-14
2233,1598,0,0,2025-11-22
4309,1271,1,0,2025-07-02
4364,1174,1,1,2024-03-29
365,994,1,1,2025-03-22
1373,2527,1,0,2025-04-21
747,687,1,1,2025-11-10
1704,1772,0,0,2024-12-28
3576,1201,1,0,2025-07-08
4466,1595,1,0,2024-11-03
2769,763,1,0,2024-11-05
239,2959,1,1,2024-11-26
3677,2299,1,1,2025-01-27
60,1666,1,0,2025-02-24
2179,2613,0,0,2024-10-21
3017,1968,1,0,2025-08-01
1581,2664,1,0,2024-10-08
4094,2640,0,0,2025-11-26
459,1044,1,0,2024-06-09
4785,1925,1,0,2024-02-13
1808,2606,0,0,2025-10-10
1395,2256,1,0,2024-07-21
186,1279,0,0,2025-03-07
343,2978,0,0,2024-03-08
2804,1384,1,0,2025-06-17
1827,2371,0,0,2025-02-07
317,1201,1,0,2025-07-09
4403,284,1,0,2024-09-17
2339,1638,0,0,2025-02-15
1908,2162,1,0,2025-05-11
3114,2494,1,0,2024-11-18
4219,2750,0,0,2025-03-13
3533,2046,0,0,2025-05-26
1536,2916,1,0,2024-02-06
2322,2230,0,0,2025-11-15
4380,1906,0,0,2024-11-18
238,44,0,0,2025-01-27
1325,980,0,0,2024-11-26
2563,2387,0,0,2025-07-25
2286,654,1,1,2025-02-06
197,2606,1,0,2025-10-08
698,528,0,0,2024-03-08
1847,1004,0,0,2025-09-13
962,989,0,0,2024-09-26
4087,374,0,0,2025-01-14
1178,2230,1,0,2025-11-18
437,1313,0,0,2025-06-25
621,157,1,1,2025-09-01
2999,895,1,1,2025-02-04
2672,1654,1,1,2025-07-02
3686,2012,1,0,2024-01-30
2612,1561,1,0,2025-05-04
3016,1896,0,0,2024-12-11
2424,1448,0,0,2024-05-31
4656,1406,0,0,2025-08-28
3014,105,0,0,2025-06-15
1967,2820,0,0,2024-09-13
4614,2909,0,0,2024-07-17
940,1231,1,0,2024-12-16
609,2291,1,0,2024-04-22
2564,537,0,0,2024-02-06
3007,588,0,0,2025-03-05
3713,2740,0,0,2025-07-05
4102,672,0,0,2025-09-18
3231,2663,1,0,2025-09-15
1516,380,1,0,2025-05-01
2420,2911,1,1,2025-04-17
331,2724,1,0,2025-05-10
2147,1898,1,0,2024-08-07
1160,1230,0,0,2025-05-23
2969,2799,0,0,2024-10-31
751,691,0,0,2024-04-09
2341,40,0,0,2024-05-16
4774,821,0,0,2025-06-09
1914,1187,0,0,2024-12-09
4718,1027,1,0,2025-02-10
4520,159,1,0,2024-10-31
2897,1959,0,0,2025-04-22
4655,251,0,0,2025-01-27
3920,2490,0,0,2024-02-25
1117,2685,1,1,2025-04-15
3332,34,1,0,2024-02-24
933,836,0,0,2024-03-02
2147,2058,0,0,2025-06-07
563,828,1,0,2025-07-13
3543,2835,1,0,2024-05-24
3408,358,1,1,2024-05-03
951,478,1,0,2024-03-23
708,2851,0,0,2024-03-18
685,917,1,1,2025-11-10
4592,141,1,0,2024-02-22
416,2278,1,0,2024-10-02
4739,1556,0,0,2024-01-13
2953,647,1,0,2024-01-24
4717,2418,1,1,2025-07-21
1778,788,1,0,2024-10-30
