id_venda,id_cliente,id_campanha,valor,data_venda
1,979,1610,70.88,2024-12-19
2,3645,1066,108.82,2025-11-14
3,3518,570,51.94,2024-05-02
4,2289,240,115.62,2025-05-02
5,1876,1480,169.91,2024-11-05
6,4910,2636,40.57,2024-07-22
7,4730,2377,30.90,2025-01-18
8,2729,2682,85.24,2025-09-05
9,4614,1512,142.33,2025-03-06
10,1599,1593,119.93,2025-07-23
11,1431,1344,9.49,2024-06-09
12,2591,2400,95.59,2024-09-05
13,3541,1251,58.10,2025-02-22
14,2702,1229,48.97,2024-11-11
15,4912,187,95.98,2024-10-26
16,4036,2218,59.49,2025-11-27
17,28,698,104.66,2024-07-12
18,4213,350,95.70,2024-11-02
19,1350,1636,88.30,2025-06-22
20,2061,1422,61.95,2025-07-18
21,4847,1346,97.61,2025-04-05
22,3031,1163,134.74,2025-01-18
23,3848,1562,55.18,2024-05-08
24,3613,677,118.78,2024-05-06
25,2298,1685,140.18,2025-11-08
26,4076,2739,85.80,2024-03-20
27,1305,1916,120.32,2024-10-28
28,3775,1391,42.67,2024-06-29
29,918,2083,105.23,2024-07-02
30,2289,240,38.79,2025-04-30
31,2188,2814,130.26,2024-08-06
32,719,1053,65.18,2024-08-20
33,3243,1514,62.95,2024-07-29
34,2149,368,39.72,2024-04-13
35,3850,1079,129.82,2024-06-26
36,916,1665,246.70,2024-06-13
37,3753,2706,78.76,2024-10-21
38,2188,2814,200.16,2024-07-30
39,152,1577,421.50,2024-02-25
40,4062,2871,147.71,2024-01-25
41,1638,2975,73.42,2024-03-11
42,4742,964,40.09,2025-06-30
43,4449,1819,66.77,2025-05-11
44,470,2832,81.92,2024-04-20
45,4461,1015,117.05,2024-07-06
46,263,1287,66.79,2024-04-24
47,1922,859,267.11,2024-05-11
48,4821,1640,53.66,2025-10-09
49,1432,782,177.47,2025-06-10
50,2847,664,101.75,2024-03-19
51,1952,2393,47.86,2024-03-17
52,1537,1423,119.66,2024-11-09
53,3907,2845,138.82,2025-07-26
